"id","question_id","option_id","student_id","content","project_id","table_id","year","del_flag","create_by","create_time","update_by","update_time","remark"
15034934	,320000	,,210404108130101	,"210404108130101",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034935	,320001	,,210404108130101	,"21",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034936	,320002	,,210404108130101	,"2104",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034937	,320042	,,210404108130101	,"210404",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034938	,320043	,32000355	,210404108130101	,"1",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034939	,320044	,,210404108130101	,"08",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034940	,320047	,,210404108130101	,"13",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034941	,320048	,,210404108130101	,"0101",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034942	,320049	,32000010	,210404108130101	,"1",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034943	,320051	,32000014	,210404108130101	,"1",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034944	,320055	,32000361	,210404108130101	,"1",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034945	,320057	,,210404108130101	,"3",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034946	,32011101	,,210404108130101	,"1",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034947	,32001801	,,210404108130101	,"10",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034948	,32001804	,,210404108130101	,"6",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034949	,32001808	,,210404108130101	,"8",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034950	,32001811	,,210404108130101	,"8",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034951	,32001814	,,210404108130101	,"9",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034952	,32001817	,,210404108130101	,"8",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034953	,32001802	,,210404108130101	,"30",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034954	,32001805	,,210404108130101	,"10",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034955	,32001809	,,210404108130101	,"30",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034956	,32001812	,,210404108130101	,"10",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034957	,32001815	,,210404108130101	,"30",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
15034958	,32001818	,,210404108130101	,"30",2	,7	,"2025","0","","2025-10-24 19:14:34","",,
