statement_type,reason,risk_level
DESCRIPTIVES,SPSS function not yet supported by engine,MEDIUM
FREQUENCIES,SPSS function not yet supported by engine,MEDIUM
CTABLES,SPSS function not yet supported by engine,MEDIUM
DATASET COPY,SPSS function not yet supported by engine,MEDIUM
DATASET ACTIVATE,SPSS function not yet supported by engine,MEDIUM
FILTER OFF,SPSS function not yet supported by engine,MEDIUM
USE ALL,SPSS function not yet supported by engine,MEDIUM
LEAVE,SPSS function not yet supported by engine,MEDIUM
FORMAT,SPSS function not yet supported by engine,MEDIUM
VARIABLE LEVEL,SPSS function not yet supported by engine,MEDIUM
VARIABLE WIDTH,SPSS function not yet supported by engine,MEDIUM
SPLIT FILE,SPSS function not yet supported by engine,MEDIUM
EXECUTE,SPSS function not yet supported by engine,MEDIUM
DATEDIFF,SPSS function not yet supported by engine,MEDIUM
DATEDIF,SPSS function not yet supported by engine,MEDIUM
MISSING(,SPSS function not yet supported by engine,HIGH
$SYSMIS,SPSS function not yet supported by engine,HIGH
XDATE.YEAR,SPSS function not yet supported by engine,MEDIUM
XDATE.MONTH,SPSS function not yet supported by engine,MEDIUM
XDATE.MDAY,SPSS function not yet supported by engine,MEDIUM
NUMBER(,SPSS function not yet supported by engine,MEDIUM
CHAR.SUBSTR,SPSS function not yet supported by engine,MEDIUM
CHAR.LENGTH,SPSS function not yet supported by engine,MEDIUM
STRING(,SPSS function not yet supported by engine,MEDIUM
MOD(,SPSS function not yet supported by engine,MEDIUM
LTRIM(,SPSS function not yet supported by engine,MEDIUM
RTRIM(,SPSS function not yet supported by engine,MEDIUM
