output_code,output_name,output_type,select_condition,spss_source_size
修近视筛查语法-O001,"01-近视数据库-ID不一致",ERROR_GROUP,"ID是否一致 = 1",104
修近视筛查语法-O002,"02-近视数据库-ID重复",ERROR_GROUP,"PrimaryFirst1 = 0",109
修近视筛查语法-O003,"03-近视数据库-基本信息缺失-幼儿园中小学",ERROR_GROUP,"地市编码缺失 = 1 OR 县区编码缺失=1 OR 城乡编码缺失或异常=1 OR 学校编码缺失=1 OR 年级编码缺失或异常=1 OR 性别编码缺失或异常=1 OR 出生日期缺失=1 OR 检测日期缺失=1 OR 证件类型缺失或异常=1",268
修近视筛查语法-O004,"04-近视数据库-证件号码缺失",ERROR_GROUP,"证件号码缺失 = 1",104
修近视筛查语法-O005,"05-近视数据库-身份证可疑",ERROR_GROUP,"证件位数异常 = 1",103
修近视筛查语法-O006,"06-近视数据库-身份证与出生日期不一致",ERROR_GROUP,"身份证出生日期异常 = 1",112
修近视筛查语法-O007,"07-近视数据库-身份证性别异常-中小学",ERROR_GROUP,"身份证性别异常 = 1",110
修近视筛查语法-O008,"08-近视数据库-年龄异常",ERROR_GROUP,"年龄异常=1",99
修近视筛查语法-O009,"近视数据库--清理后-幼儿园中小学",CLEAN_DATA,"(grade = 53 AND 地市编码缺失 = 0 AND 县区编码缺失 = 0 AND 城乡编码缺失或异常 = 0 AND 学校编码缺失 = 0 AND 年级编码缺失或异常 = 0 AND 性别编码缺失或异常 = 0 AND 出生日期缺失 = 0 AND 检测日期缺失 = 0 AND ID是否一致 = 0 AND PrimaryFirst1 = 1 AND 年龄异常 = 0) OR ((grade >= 1 AND grade <= 6) OR (grade >= 11 AND grade <= 14) OR (grade >= 21 AND grade <= 23) OR (grade >= 31 AND grade <= 33)) AND 地市编码缺失 = 0 AND 县区编码缺失 = 0 AND 城乡编码缺失或异常 = 0 AND 学校编码缺失 = 0 AND 年级编码缺失或异常 = 0 AND 性别编码缺失或异常 = 0 AND 出生日期缺失 = 0 AND 检测日期缺失 = 0 AND ID是否一致 = 0 AND PrimaryFirst1 = 1 AND 证件类型缺失或异常 = 0 AND 年龄异常 = 0",779
修近视筛查语法-O010,"09-近视数据库-年龄可疑",ERROR_GROUP,"年龄可疑 = 1",100
修近视筛查语法-O011,"10-近视数据库-近视判定缺失",ERROR_GROUP,"MISSING(myopia)",135
修近视筛查语法-O012,"近视数据库-最终近视数据库",ERROR_GROUP,"myopia=1 or myopia=2",135
