rule_code,target_variable,rule_type,source_variables,step_count,label,spss_source_size,java_preview
修近视筛查语法-R001,age2,COMPUTE,"EXAMINE;BIRTH;DAYS",0,"age2",78,"age2 = evalDecimal(""DATEDIFF(EXAMINE,BIRTH,\""days\"")/365"")"
修近视筛查语法-R002,age,COMPUTE,"EXAMINE;BIRTH;YEARS",0,"age",220,"age = evalDecimal(""DATEDIF(EXAMINE, BIRTH, \""years\"")"")"
修近视筛查语法-R003,ID3,COMPUTE,"PROVINCE;CITY;COUNTY;POINT;SCHOOL;GRADE;NUM",0,"ID3",128,"ID3 = evalDecimal(""((10**13)*province)+((10**11)*city)+(county*(10**9))+(point*(10**8))+(school*(10**6))+(grade*(10**4))+num"")"
修近视筛查语法-R004,ID是否一致,ROW_CHECK,"ID1;ID3",2,"ID是否一致",162,"ID是否一致 = evalDecimal(""id1 - ID3""); recode(ID是否一致 -> ID是否一致); ID是否一致 = missing(ID是否一致) || ID是否一致 != 0 ? 1 : 0"
修近视筛查语法-R005,证件类型缺失或异常,COMPUTE,"",0,"证件类型缺失或异常",50,"证件类型缺失或异常 = evalDecimal(""$SYSMIS"")"
修近视筛查语法-R006,证件号码缺失,COMPUTE,"",0,"证件号码缺失",59,"证件号码缺失 = evalDecimal(""$SYSMIS"")"
修近视筛查语法-R007,身份证出生日期异常,COMPUTE,"",0,"身份证出生日期异常",139,"身份证出生日期异常 = evalDecimal(""$SYSMIS"")"
修近视筛查语法-R008,身份证出生日期异常,COMPUTE,"NUMBER",0,"身份证出生日期异常",298,"身份证出生日期异常 = evalDecimal(""(NUMBER(CHAR"")"
修近视筛查语法-R009,身份证性别异常,COMPUTE,"",0,"身份证性别异常",178,"身份证性别异常 = evalDecimal(""$SYSMIS"")"
修近视筛查语法-R010,#gender_bit,COMPUTE,"NUMBER",0,"#gender_bit",139,"#gender_bit = evalDecimal(""NUMBER(CHAR"")"
修近视筛查语法-R011,身份证性别异常,COMPUTE,"MOD;GENDER_BIT;GENDER",0,"身份证性别异常",187,"身份证性别异常 = evalDecimal(""((MOD(#gender_bit, 2) = 1 AND gender = 2) OR (MOD(#gender_bit, 2) = 0 AND gender = 1))"")"
修近视筛查语法-R012,SER修,COMPUTE,"球镜右修改;柱镜右修改",0,"SER修",42,"SER修 = evalDecimal(""球镜右修改 + (柱镜右修改 /2)"")"
修近视筛查语法-R013,SEL修,COMPUTE,"球镜左修改;柱镜左修改",0,"SEL修",42,"SEL修 = evalDecimal(""球镜左修改 + (柱镜左修改 /2)"")"
修近视筛查语法-R014,地市编码缺失,ROW_CHECK,"CITY",1,"地市编码缺失",53,"recode(city -> 地市编码缺失); 地市编码缺失 = missing(地市编码缺失) || 地市编码缺失 != 0 ? 1 : 0"
修近视筛查语法-R015,县区编码缺失,ROW_CHECK,"COUNTY",1,"县区编码缺失",55,"recode(county -> 县区编码缺失); 县区编码缺失 = missing(县区编码缺失) || 县区编码缺失 != 0 ? 1 : 0"
修近视筛查语法-R016,城乡编码缺失或异常,ROW_CHECK,"POINT",1,"城乡编码缺失或异常",69,"recode(point -> 城乡编码缺失或异常); 城乡编码缺失或异常 = missing(城乡编码缺失或异常) || 城乡编码缺失或异常 != 0 ? 1 : 0"
修近视筛查语法-R017,学校编码缺失,ROW_CHECK,"SCHOOL",1,"学校编码缺失",55,"recode(school -> 学校编码缺失); 学校编码缺失 = missing(学校编码缺失) || 学校编码缺失 != 0 ? 1 : 0"
修近视筛查语法-R018,性别编码缺失或异常,ROW_CHECK,"GENDER",1,"性别编码缺失或异常",70,"recode(gender -> 性别编码缺失或异常); 性别编码缺失或异常 = missing(性别编码缺失或异常) || 性别编码缺失或异常 != 0 ? 1 : 0"
修近视筛查语法-R019,出生日期缺失,ROW_CHECK,"BIRTH",1,"出生日期缺失",54,"recode(birth -> 出生日期缺失); 出生日期缺失 = missing(出生日期缺失) || 出生日期缺失 != 0 ? 1 : 0"
修近视筛查语法-R020,检测日期缺失,ROW_CHECK,"EXAMINE",1,"检测日期缺失",75,"recode(examine -> 检测日期缺失); 检测日期缺失 = missing(检测日期缺失) || 检测日期缺失 != 0 ? 1 : 0"
修近视筛查语法-R021,证件类型缺失或异常,ROW_CHECK,"ZJTYPE",1,"证件类型缺失或异常",426,"recode(zjtype -> 证件类型缺失或异常); 证件类型缺失或异常 = missing(证件类型缺失或异常) || 证件类型缺失或异常 != 0 ? 1 : 0"
修近视筛查语法-R022,年龄异常,ROW_CHECK,"AGE2;GRADE",2,"年龄异常",208,"recode(age2 -> 年龄异常); if evalCondition(""grade = 53"") then { recode(age2 -> 年龄异常) }; 年龄异常 = missing(年龄异常) || 年龄异常 != 0 ? 1 : 0"
修近视筛查语法-R023,年龄可疑,ROW_CHECK,"AGE2;GRADE",18,"年龄可疑",1716,"recode(age2 -> 年龄可疑); if evalCondition(""grade = 1"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 2"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 3"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 4"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 5"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 6"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 11"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 12"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 13"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 14"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 21"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 22"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 23"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 31"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 32"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 33"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 41 | grade=42 | grade=43"") then { recode(age2 -> 年龄可疑) }; 年龄可疑 = missing(年龄可疑) || 年龄可疑 != 0 ? 1 : 0"
修近视筛查语法-R024,球镜右修改,ROW_CHECK,"SPHERR",1,"球镜右修改",81,"recode(SPHERR -> 球镜右修改); 球镜右修改 = missing(球镜右修改) || 球镜右修改 != 0 ? 1 : 0"
修近视筛查语法-R025,球镜左修改,ROW_CHECK,"SPHERL",1,"球镜左修改",81,"recode(SPHERL -> 球镜左修改); 球镜左修改 = missing(球镜左修改) || 球镜左修改 != 0 ? 1 : 0"
修近视筛查语法-R026,柱镜右修改,ROW_CHECK,"CYLINR",1,"柱镜右修改",81,"recode(CYLINR -> 柱镜右修改); 柱镜右修改 = missing(柱镜右修改) || 柱镜右修改 != 0 ? 1 : 0"
修近视筛查语法-R027,柱镜左修改,ROW_CHECK,"CYLINL",1,"柱镜左修改",81,"recode(CYLINL -> 柱镜左修改); 柱镜左修改 = missing(柱镜左修改) || 柱镜左修改 != 0 ? 1 : 0"
修近视筛查语法-R028,visionR修改,ROW_CHECK,"VISIONR",1,"visionR修改",249,"recode(VISIONR -> visionR修改); visionR修改 = missing(visionR修改) || visionR修改 != 0 ? 1 : 0"
修近视筛查语法-R029,学段,ROW_CHECK,"学校类型",1,"学段",55,"recode(学校类型 -> 学段); 学段 = missing(学段) || 学段 != 0 ? 1 : 0"
