rule_code,target_variable,rule_type,source_variables,step_count,label,spss_source_size,java_preview
表1-3-R001,ID3,COMPUTE,"PROVINCE;CITY;COUNTY;POINT;SCHOOL",0,"ID3",92,"ID3 = evalDecimal(""((10**7)*province)+((10**5)*city)+(county*(10**3))+(point*100)+school"")"
表1-3-R002,ID是否一致,ROW_CHECK,"ID1;ID3",2,"ID是否一致",160,"ID是否一致 = evalDecimal(""ID1 - ID3""); recode(ID是否一致 -> ID是否一致); ID是否一致 = missing(ID是否一致) || ID是否一致 != 0 ? 1 : 0"
表1-3-R003,地市编码缺失,ROW_CHECK,"CITY",1,"地市编码缺失",53,"recode(city -> 地市编码缺失); 地市编码缺失 = missing(地市编码缺失) || 地市编码缺失 != 0 ? 1 : 0"
表1-3-R004,县区编码缺失,ROW_CHECK,"COUNTY",1,"县区编码缺失",55,"recode(county -> 县区编码缺失); 县区编码缺失 = missing(县区编码缺失) || 县区编码缺失 != 0 ? 1 : 0"
表1-3-R005,城乡编码缺失或异常,ROW_CHECK,"POINT",1,"城乡编码缺失或异常",69,"recode(point -> 城乡编码缺失或异常); 城乡编码缺失或异常 = missing(城乡编码缺失或异常) || 城乡编码缺失或异常 != 0 ? 1 : 0"
表1-3-R006,学校编码缺失,ROW_CHECK,"SCHOOL",1,"学校编码缺失",118,"recode(school -> 学校编码缺失); 学校编码缺失 = missing(学校编码缺失) || 学校编码缺失 != 0 ? 1 : 0"
表1-3-R007,小学教室1年级代码缺失或异常,ROW_CHECK,"PG011",1,"小学教室1年级代码缺失或异常",65,"recode(PG011 -> 小学教室1年级代码缺失或异常); 小学教室1年级代码缺失或异常 = missing(小学教室1年级代码缺失或异常) || 小学教室1年级代码缺失或异常 != 0 ? 1 : 0"
表1-3-R008,小学教室2年级代码缺失或异常,ROW_CHECK,"PG012",1,"小学教室2年级代码缺失或异常",65,"recode(PG012 -> 小学教室2年级代码缺失或异常); 小学教室2年级代码缺失或异常 = missing(小学教室2年级代码缺失或异常) || 小学教室2年级代码缺失或异常 != 0 ? 1 : 0"
表1-3-R009,小学教室3年级代码缺失或异常,ROW_CHECK,"PG013",1,"小学教室3年级代码缺失或异常",65,"recode(PG013 -> 小学教室3年级代码缺失或异常); 小学教室3年级代码缺失或异常 = missing(小学教室3年级代码缺失或异常) || 小学教室3年级代码缺失或异常 != 0 ? 1 : 0"
表1-3-R010,小学教室4年级代码缺失或异常,ROW_CHECK,"PG014",1,"小学教室4年级代码缺失或异常",65,"recode(PG014 -> 小学教室4年级代码缺失或异常); 小学教室4年级代码缺失或异常 = missing(小学教室4年级代码缺失或异常) || 小学教室4年级代码缺失或异常 != 0 ? 1 : 0"
表1-3-R011,小学教室5年级代码缺失或异常,ROW_CHECK,"PG015",1,"小学教室5年级代码缺失或异常",65,"recode(PG015 -> 小学教室5年级代码缺失或异常); 小学教室5年级代码缺失或异常 = missing(小学教室5年级代码缺失或异常) || 小学教室5年级代码缺失或异常 != 0 ? 1 : 0"
表1-3-R012,小学教室6年级代码缺失或异常,ROW_CHECK,"PG016",1,"小学教室6年级代码缺失或异常",95,"recode(PG016 -> 小学教室6年级代码缺失或异常); 小学教室6年级代码缺失或异常 = missing(小学教室6年级代码缺失或异常) || 小学教室6年级代码缺失或异常 != 0 ? 1 : 0"
