rule_code,step_no,step_type,source,target,condition,expression
修近视筛查语法-R004,1,COMPUTE,,ID是否一致,"","id1 - ID3"
修近视筛查语法-R004,2,RECODE,ID是否一致,,"",""
修近视筛查语法-R014,1,RECODE,city,,"",""
修近视筛查语法-R015,1,RECODE,county,,"",""
修近视筛查语法-R016,1,RECODE,point,,"",""
修近视筛查语法-R017,1,RECODE,school,,"",""
修近视筛查语法-R018,1,RECODE,gender,,"",""
修近视筛查语法-R019,1,RECODE,birth,,"",""
修近视筛查语法-R020,1,RECODE,examine,,"",""
修近视筛查语法-R021,1,RECODE,zjtype,,"",""
修近视筛查语法-R022,1,RECODE,age2,,"",""
修近视筛查语法-R022,2,CONDITIONAL,,,"",""
修近视筛查语法-R023,1,RECODE,age2,,"",""
修近视筛查语法-R023,2,CONDITIONAL,,,"",""
修近视筛查语法-R023,3,CONDITIONAL,,,"",""
修近视筛查语法-R023,4,CONDITIONAL,,,"",""
修近视筛查语法-R023,5,CONDITIONAL,,,"",""
修近视筛查语法-R023,6,CONDITIONAL,,,"",""
修近视筛查语法-R023,7,CONDITIONAL,,,"",""
修近视筛查语法-R023,8,CONDITIONAL,,,"",""
修近视筛查语法-R023,9,CONDITIONAL,,,"",""
修近视筛查语法-R023,10,CONDITIONAL,,,"",""
修近视筛查语法-R023,11,CONDITIONAL,,,"",""
修近视筛查语法-R023,12,CONDITIONAL,,,"",""
修近视筛查语法-R023,13,CONDITIONAL,,,"",""
修近视筛查语法-R023,14,CONDITIONAL,,,"",""
修近视筛查语法-R023,15,CONDITIONAL,,,"",""
修近视筛查语法-R023,16,CONDITIONAL,,,"",""
修近视筛查语法-R023,17,CONDITIONAL,,,"",""
修近视筛查语法-R023,18,CONDITIONAL,,,"",""
修近视筛查语法-R024,1,RECODE,SPHERR,,"",""
修近视筛查语法-R025,1,RECODE,SPHERL,,"",""
修近视筛查语法-R026,1,RECODE,CYLINR,,"",""
修近视筛查语法-R027,1,RECODE,CYLINL,,"",""
修近视筛查语法-R028,1,RECODE,VISIONR,,"",""
修近视筛查语法-R029,1,RECODE,学校类型,,"",""
