rule_code,step_no,step_type,source,target,condition,expression
表1-3-R002,1,COMPUTE,,ID是否一致,"","ID1 - ID3"
表1-3-R002,2,RECODE,ID是否一致,,"",""
表1-3-R003,1,RECODE,city,,"",""
表1-3-R004,1,RECODE,county,,"",""
表1-3-R005,1,RECODE,point,,"",""
表1-3-R006,1,RECODE,school,,"",""
表1-3-R007,1,RECODE,PG011,,"",""
表1-3-R008,1,RECODE,PG012,,"",""
表1-3-R009,1,RECODE,PG013,,"",""
表1-3-R010,1,RECODE,PG014,,"",""
表1-3-R011,1,RECODE,PG015,,"",""
表1-3-R012,1,RECODE,PG016,,"",""
表1-3-R013,1,RECODE,mg011,,"",""
表1-3-R014,1,RECODE,mg012,,"",""
表1-3-R015,1,RECODE,mg013,,"",""
表1-3-R016,1,RECODE,mg014,,"",""
表1-3-R017,1,RECODE,mg015,,"",""
表1-3-R018,1,RECODE,mg016,,"",""
表1-3-R019,1,RECODE,pg021,,"",""
表1-3-R020,1,RECODE,pg022,,"",""
表1-3-R021,1,RECODE,pg023,,"",""
表1-3-R022,1,RECODE,pg024,,"",""
表1-3-R023,1,RECODE,pg025,,"",""
表1-3-R024,1,RECODE,pg026,,"",""
表1-3-R025,1,RECODE,mg021,,"",""
表1-3-R026,1,RECODE,mg022,,"",""
表1-3-R027,1,RECODE,mg023,,"",""
表1-3-R028,1,RECODE,mg024,,"",""
表1-3-R029,1,RECODE,mg025,,"",""
表1-3-R030,1,RECODE,mg026,,"",""
