output_code,output_name,output_type,select_condition,spss_source_size
表2-2-O001,"01-表2-2-ID不一致-大学",ERROR_GROUP,"ID是否一致 = 1",105
表2-2-O002,"02-表2-2ID重复-大学",ERROR_GROUP,"PrimaryFirst1 = 0",109
表2-2-O003,"03-表2-2-基本信息缺失-大学",ERROR_GROUP,"地市编码缺失 = 1 OR 县区编码缺失=1 OR 城乡编码缺失或异常=1 OR 学校编码缺失=1 OR 年级编码缺失或异常=1 OR 性别编码缺失或异常=1 OR 出生日期缺失=1 OR 检测日期缺失=1",227
表2-2-O004,"04-表2-2-年龄异常-大学",ERROR_GROUP,"年龄异常=1",100
表2-2-O005,"表2-2-清理后-大学",CLEAN_DATA,"地市编码缺失 = 0 AND 县区编码缺失=0 AND 城乡编码缺失或异常=0 AND 学校编码缺失=0 AND 年级编码缺失或异常=0 AND 性别编码缺失或异常=0 AND 出生日期缺失=0 AND 检测日期缺失=0 AND ID是否一致=0 AND PrimaryFirst1=1 AND 年龄异常=0",271
表2-2-O006,"05-表2-2-年龄可疑-大学",ERROR_GROUP,"年龄可疑 = 1",101
表2-2-O007,"06-表2-2-近视可疑-大学",ERROR_GROUP,"近视可疑 = 1",101
表2-2-O008,"07-表2-2-身高体重可疑-大学",ERROR_GROUP,"身高异常或缺失 = 1 OR 体重异常或缺失=1 OR BMI异常或缺失=1",158
表2-2-O009,"07-表2-2-腰围可疑-大学",ERROR_GROUP,"腰围异常或缺失=1",101
表2-2-O010,"08-表2-2-血压可疑-大学",ERROR_GROUP,"收缩压可疑 = 1 OR 舒张压可疑=1 OR 压差可疑=1",123
表2-2-O011,"09-表2-2-龋齿可疑-大学",ERROR_GROUP,"恒龋可疑=1",99
