sample_key,ID1,PROVINCE,CITY,COUNTY,POINT,SCHOOL,A01,A011,A02,A05,Q92,A06,D021,HD031,HD033,HD051,HD0511,HD061,HD0611,HD032,HD034,HD052,HD0512,HD062,HD0612,A04,A061,A062,A063,A064,A065,A066,A067,A08,A09,B01,B03,B04,B05,B13,B06,B09A,B09A1,B12,B14,B15,H401B,H401C,H401D,H01B,H01C,H02A,D02,C09,H403A,H403B,H403C,H403D,H403E,H04A,H04B,H04C,C10,H03A,H03B,H03C,H03D,C03,H03F,H03G,H03H,H05A,HD07,H06A,H06B,H06C,G01,G11,I101,I102,I103,I104,I105,I106,I107,I108,I109,I110,I111,I112,I113,I114,I115,I116,I117,I118,I119,I121,I122,I123,I124,I125,I126,I127,I128,I130,I131,I132,I133,I134,I135,I136,I137,DATE,H06F,ID3,ID是否一致,地市编码缺失,县区编码缺失,城乡编码缺失或异常,学校编码缺失,年级编码缺失或异常,性别编码缺失或异常,住校编码缺失或异常,民族编码缺失或异常,Q921,C102,H06F1,H06D1,H06D2,H06D3,H06D4,H06D5,H06D6,H06E1,H06E2,H06E3,H06E4,H06E7,H06E5,H06E6,H06G,H06G1,D022,H06DOTHER,A081,D0231,D0232,NEW1,Q91,Q911,H06F2,A05OTHER
210404108130101,210404108130101,21,2104,210404,1,08,13,0101,1,1,1,3,1,10,6,8,8,9,8,30,10,30,10,30,30,2,2,1,1,2,2,2,2,2,2,3,2,2,5,2,5,6,2,3,1,3,3,1,2,3,2,2,1,3,2,2,2,2,2,5,1,5,2,4,2,2,3,5,2,4,5,3,1,4,3,2,1,1,2,1,1,4,1,1,1,4,1,1,2,4,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,24/10/2025,,630804108130101.0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210404108130102,210404108130102,21,2104,210404,1,08,13,0102,1,1,2,5,3,10,6,6,6,2,5,0,30,0,0,0,0,2,1,1,1,2,2,1,2,2,2,2,3,4,5,4,5,6,3,4,1,1,3,1,2,3,3,3,1,3,4,4,4,2,2,2,1,3,1,3,1,3,3,5,1,2,3,3,3,4,3,2,1,1,1,1,3,2,1,1,1,3,1,1,1,4,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,24/10/2025,,630804108130102.0,1,0,0,0,0,0,0,0,0,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,
210404108130103,210404108130103,21,2104,210404,1,08,13,0103,1,1,1,2,,10,6,11,10,8,5,10,30,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,3,6,6,5,5,6,3,4,1,2,3,1,2,3,6,3,4,3,1,2,1,3,4,3,1,2,1,4,1,3,3,5,1,4,3,2,3,4,3,1,2,1,1,2,1,4,2,4,1,3,1,1,4,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,24/10/2025,,630804108130103.0,1,0,0,0,0,0,0,0,0,,5,9,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,,,,,,,,,,
210404108130104,210404108130104,21,2104,210404,1,08,13,0104,1,1,1,2,,11,6,12,12,8,8,0,30,0,0,0,0,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,2,1,4,1,2,5,1,2,2,3,3,4,2,2,3,3,2,2,1,1,1,1,4,1,4,3,5,1,1,5,1,3,3,2,1,1,1,1,1,1,4,2,2,1,4,1,1,1,4,1,1,1,3,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,24/10/2025,,630804108130104.0,1,0,0,0,0,0,0,0,0,,0,12,1,2,2,2,2,2,1,1,2,1,2,2,2,3,3,,,,,,,,,,
210404108130105,210404108130105,21,2104,210404,1,08,13,0105,1,1,1,3,2,22,7,12,6,4,4,00,00,00,00,00,00,2,2,1,1,2,2,1,2,2,2,2,2,4,5,3,5,6,1,3,1,3,4,4,3,3,2,3,1,3,2,2,2,2,2,4,4,4,1,3,2,3,2,5,1,1,4,3,2,4,3,2,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,04/11/2025,,630804108130105.0,1,0,0,0,0,0,0,0,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
210404108130106,210404108130106,21,2104,210404,1,08,13,0106,1,1,2,2,10,11,6,15,12,6,5,0,30,59,59,0,0,2,2,1,1,2,2,2,2,2,2,1,2,4,5,4,5,4,2,4,1,3,3,1,4,2,1,2,1,2,1,3,3,3,3,2,1,2,1,3,2,3,2,5,4,4,4,1,4,4,1,2,2,2,3,1,1,1,1,2,2,1,1,1,3,4,1,1,1,3,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,25/10/2025,,630804108130106.0,1,0,0,0,0,0,0,0,0,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,
210404108130107,210404108130107,21,2104,210404,1,08,13,0107,1,6,1,3,,22,6,10,2,7,2,30,0,0,30,30,30,2,2,1,1,2,2,1,2,2,2,2,2,3,3,3,4,6,2,6,1,2,5,4,3,3,1,3,2,2,3,3,3,4,4,4,1,4,1,3,2,3,2,3,1,3,4,4,1,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,2,4,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,24/10/2025,,630804108130107.0,1,0,0,0,0,0,0,0,0,,30,10,1,2,2,2,2,2,2,2,2,1,2,2,2,3,3,2,,,,,,,,,
210404108130108,210404108130108,21,2104,210404,1,08,13,0108,1,1,2,2,3,22,6,12,10,8,10,30,30,30,30,0,0,2,2,1,1,2,2,2,2,2,2,1,2,5,5,3,5,5,2,3,1,3,2,1,2,2,1,3,1,3,2,4,4,4,2,2,1,2,1,4,1,4,3,5,1,2,3,1,1,4,3,2,1,1,1,1,1,4,1,1,2,3,1,1,1,4,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,24/10/2025,,630804108130108.0,1,0,0,0,0,0,0,0,0,13,30,,,,,,,,,,,,,,,,,,,,,,,,,,
210404108130109,210404108130109,21,2104,210404,1,08,13,0109,1,1,1,2,2,22,6,1,2,8,2,10,6,1,2,8,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,2,4,1,4,3,5,5,5,1,1,1,4,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,24/10/2025,,630804108130109.0,1,0,0,0,0,0,0,0,0,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,
210404108130110,210404108130110,21,2104,210404,1,08,13,0110,1,1,1,4,1,22,6,9,7,8,4,30,45,30,0,0,0,2,1,1,1,2,2,2,2,2,2,2,2,5,4,4,3,5,3,5,1,3,5,3,2,3,1,3,1,3,2,4,4,4,4,1,1,1,1,4,1,3,2,5,1,1,5,4,1,4,3,2,2,1,1,1,1,4,2,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,24/10/2025,,630804108130110.0,1,0,0,0,0,0,0,0,0,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
